,0,population distribution
0-9,4370857,9.27987275181836
10-19,4883448,10.368167164956866
20-29,4847936,10.29277077446352
30-39,6167590,13.094560262526869
40-49,7813174,16.58833965691755
50-59,6974009,14.806688045396136
60-69,5281874,11.214075091255067
70-79,3900551,8.281354650124188
80+,2860959,6.074171602541448
