,population
0-9,11.87266435391696
10-19,12.94301959127199
20-29,11.444572954009148
30-39,12.321308365606532
40-49,12.955556050770936
50-59,13.230221041966722
60-69,11.719470297445016
70-79,8.35788962064589
80+,5.155297724366805
